categorie|tag TEI-Med|tag TEI-XML
sem|pl-reg2|<placeName type="region" ref="#$"><name><w>$</w><w>$</w></name></placeName>
sem|pl-cit|<placeName type="city" ref="#$"><name><w>$</w></name></placeName>
sem|pl-cha|<placeName type="castel" ref="#$"><name><w>$</w></name></placeName>
sem|pl-cha2|<placeName type="castel" ref="#$"><w>$</w><name><w>$</w></name></placeName>
sem|pl-cha3|<placeName type="castel" ref="#$"><w>$</w><w>$</w><name><w>$</w></name></placeName>
sem|pl-cha3+|<placeName type="castel" ref="#$"><w>$</w><w ana="#aggl-s">$</w><name><w>$</w></name></placeName>
sem|geog|<geogName ref="#$"><name><w>$</w></name></geogName>
sem|geog2|<geogName ref="#$"><name><w>$</w><w>$</w></name></geogName>
sem|geog-f0|<geogName ref="#$"><geogFeat><w>$</w></geogFeat><name><w>$</w></name></geogName>
sem|geog-f1|<geogName ref="#$"><geogFeat><w>$</w></geogFeat><w>$</w><name><w>$</w></name></geogName>
sem|geog-f2|<geogName ref="#$"><geogFeat><w>$</w></geogFeat><name><w>$</w><w>$</w></name></geogName>

sem|rs-all|<rs type="allegory" ref="#$"><w>$</w></rs>
sem|rs-sur|<rs type="surname" ref="#$"><w>$</w></rs>
sem|rs-nat|<rs type="nationality" ref="#$"><w>$</w></rs>

sem|num-d|<w type="number-digit">$</w>
sem|num|<w type="number-letter">$</w>

mod|^<|^<
